artist_label_id,source_artist_label,profile_status,characteristic_terms,top_written_finals,analysed_unique_written_lines,short_line_percentile,repeated_line_percentile,chinese_english_mixing_percentile,reference_status
ALBL-4ee2de733107bf496cb129ee93841693210261129915ba651cc3fbb0b18de05c,404 Rapper,ready,重新 | 开心 | 改变,i | ing | ou | ang | ai,854,38.7,91.9,67.4,awaiting human context validation
ALBL-b6fb9745908a9283df198b367153a16c8346bc5114b5856f9a7ffb412793e6ef,Ansr J,ready,成都 | 集团 | 妹儿 | 肯定 | 点儿 | 晓得 | 敌人,i | e | u | ou | ai,1277,93.4,54.2,66.4,awaiting human context validation
ALBL-0c1cbb0aa0ebc67715d27ebbaf942ec5de9ebbfedcb37cbdbf03fba067fee404,APMOZART,ready,超市 | 废物 | 娃儿 | 老子 | 席卷 | 晓得 | 全国 | 注定,i | e | u | ou | ian,1527,50.5,67.9,99.3,awaiting human context validation
ALBL-3dab537bbce562a80504255944b4f84168fe4cdfe736c5f5569088ee394644b6,AR,ready,校长 | 哥们 | 广州 | 广东 | 歌迷 | 知识 | 粉丝 | 市场,i | e | u | ing | ian,2439,38.7,13.0,93.9,awaiting human context validation
ALBL-87844eb828b520c40f25c1c11d6bfe17d5bac7ac4cee3d7db6c8c804e9846918,Athree,limited evidence,改变 | 歌词,i | e | an | u | ai,809,23.3,14.0,72.3,awaiting human context validation
ALBL-9ec1ed5ae5429ec3c201bc8de841504a2e5b413a06a3aa8a963d94108be06e95,Blow Fever,ready,意思 | 不让 | 电话 | 改变 | 失去,i | e | ai | ao | u,952,70.6,5.6,96.8,awaiting human context validation
ALBL-9dfbe06f93041cb9bf5f5aa68c56ce9379af282b898eed75115c36908988f75d,BossWang,limited evidence,歌词,i | a | u | e | ao,707,38.7,95.3,91.9,awaiting human context validation
ALBL-fc83eb0c2b9caf7b6655f612f98b6c57a3a90e33dadb1e65cb5c8eaae604cd5a,Bridge,ready,脑壳 | 不得 | 妈妈,i | ao | e | u | ian,879,93.4,29.4,59.6,awaiting human context validation
ALBL-851b250b2304762b91768b5123950704538062116628ddfaa11d82ce5c5be520,Busta Z,ready,逍遥 | 南京 | 小孩 | 金钱 | 当作 | 文化 | 赚钱 | 圈子,i | e | ang | ai | an,1402,28.4,55.1,83.1,awaiting human context validation
ALBL-3516aca92330ace937d4d66d19489d317129d236c505c76c829d30f582c702ec,C-Block,ready,长沙 | 湘江 | 球场 | 功夫 | 历史 | 同学 | 青春 | 穿过,i | e | ian | a | ou,2334,23.3,49.3,61.5,awaiting human context validation
ALBL-58317e7308fa764165b4d6a3ef2e233753924b1bb3544048ceb57650a8fa89cb,C-Low,ready,女孩 | 感到 | 房间 | 担心,e | u | ian | i | ou,889,93.4,84.1,42.9,awaiting human context validation
ALBL-17684bc3770d1aec5c2bd652a8807086eae2d17921537773d7065a03fe954aab,Capper,limited evidence,自私 | 快乐,i | ai | e | ao | ui,1121,93.4,57.6,34.1,awaiting human context validation
ALBL-3031bd18d220db6520e49505d607f0577ab0291d63ca904ef8c75c6e35e6d3fc,CJ BAda$$ (希介),ready,重庆 | 娃儿 | 不得 | 脖子 | 晓得 | 老子 | 脑壳 | 直接,i | e | u | ou | ing,1239,80.1,85.5,87.0,awaiting human context validation
ALBL-23cc9ad5656ade82d0585fba15746eec8fbcbb8ecbcd883d7fc885d404d1478b,Cream D,limited evidence,,i | e | u | ai | ou,512,38.7,43.4,90.4,awaiting human context validation
ALBL-5df3b41d45a211caed7ddd24c3951c2e6837ab2f5322ab023300850d02ea1a5e,DBL.D,limited evidence,,i | ian | ou | uo | e,466,70.6,77.2,32.6,awaiting human context validation
ALBL-e72e4ade8d97665aa4a2256764cb353dfa64deccf822922b70f06d7ee29f3c94,Dirty Twinz,limited evidence,期待,i | u | e | an | a,611,23.3,46.3,41.4,awaiting human context validation
