entity,entity_type,strict_agreement_occurrences,lexicon_candidate_occurrences,strict_agreement_rate,unique_song_units,source_credit_labels,mean_transformer_confidence,quantitative_gate_pass,status
中文,LANGUAGE_OR_DIALECT_REFERENCE,288,436,0.6606,197,103,0.982,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
上海,PLACE,258,308,0.8377,163,88,0.9956,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
巴黎,PLACE,145,164,0.8841,87,67,0.995,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
新疆,PLACE,96,106,0.9057,61,34,0.9968,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
杭州,PLACE,77,94,0.8191,37,20,0.989,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
英文,LANGUAGE_OR_DIALECT_REFERENCE,45,61,0.7377,32,25,0.9947,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
台北,PLACE,46,73,0.6301,30,21,0.9837,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
深圳,PLACE,44,44,1.0,30,26,0.9997,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
天津,PLACE,70,100,0.7,28,13,0.9963,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
香港,PLACE,33,52,0.6346,28,23,0.9883,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
加州,PLACE,24,34,0.7059,21,21,0.9802,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
湖南,PLACE,26,38,0.6842,16,15,0.9981,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
日本,PLACE,18,21,0.8571,16,17,0.9954,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
太平洋,PLACE,25,33,0.7576,14,19,0.9924,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
河北,PLACE,19,31,0.6129,14,13,0.9787,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
伦敦,PLACE,14,24,0.5833,14,13,0.9792,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
芝加哥,PLACE,17,32,0.5312,12,14,0.9979,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
加勒比,PLACE,24,35,0.6857,11,11,0.9999,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
潘玮柏,PERSON_REFERENCE,24,25,0.96,11,10,0.9695,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
西藏,PLACE,15,18,0.8333,11,12,0.9946,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
万妮达,PERSON_REFERENCE,14,14,1.0,11,9,0.9731,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
昆明,PLACE,11,21,0.5238,10,9,0.9926,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
江西,PLACE,17,28,0.6071,9,5,0.9414,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
巴西,PLACE,15,24,0.625,9,9,0.969,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
加拿大,PLACE,11,16,0.6875,9,8,0.9965,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
莫斯科,PLACE,15,16,0.9375,6,6,0.9995,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
梅溪湖,PLACE,8,12,0.6667,6,5,0.9316,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
非洲,PLACE,6,11,0.5455,6,6,0.9999,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
黄浦江,PLACE,6,12,0.5,6,6,0.9539,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
潮汕,PLACE,33,37,0.8919,5,6,0.992,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
富士山,PLACE,10,15,0.6667,5,6,0.9998,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
石家庄,PLACE,10,15,0.6667,5,6,0.9837,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
青藏,PLACE,10,14,0.7143,5,4,0.9696,True,PROVISIONAL_CORPUSWIDE_SENSITIVITY_NOT_SHARED_TEXT_EXCLUDED_NOT_HUMAN_VALIDATED
