entity,proposed_entity_type,corpuswide_quantitative_gate_pass,shared_text_excluded_graph_quantitative_gate_pass,semantic_surface_type_pass,primary_release_decision,decision_basis,human_readable_reason,allowed_public_claim,status
万妮达,PERSON_REFERENCE,True,True,True,RELEASE_PROVISIONAL_PRIMARY,T1_CORE_NAMED_INDIVIDUAL_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,"Surface-level release as a named-person reference only; this does not establish rapper identity, authorship, or biography.",The shared-text-excluded 204-label graph universe contains provisional PERSON_REFERENCE references to 万妮达.,PROVISIONAL_PRIMARY_RELEASE_NOT_OCCURRENCE_GOLD
上帝,PERSON_REFERENCE,True,True,False,WITHHOLD_SEMANTIC_TYPE,PERSON_SURFACE_NOT_IN_T1_CORE_NAMED_INDIVIDUAL_ALLOWLIST,"WITHHOLD: two automated methods agree on a person-shaped span, but the surface is absent from the independently screened T1 named-individual ledger; credits, fictional references, and figurative uses remain possible.",No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
上海,PLACE,True,True,True,RELEASE_PROVISIONAL_PRIMARY,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,Surface-level release as a conventional geographic reference; individual occurrences remain unreviewed.,The shared-text-excluded 204-label graph universe contains provisional PLACE references to 上海.,PROVISIONAL_PRIMARY_RELEASE_NOT_OCCURRENCE_GOLD
中南海,PLACE,True,True,False,WITHHOLD_SEMANTIC_TYPE,AMBIGUOUS_SURFACE_TYPE_WITHOUT_OCCURRENCE_GOLD,"WITHHOLD: the surface may denote a place, a political metonym, or a product brand; no occurrence gold resolves those senses.",No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
中文,LANGUAGE_OR_DIALECT_REFERENCE,True,True,True,RELEASE_PROVISIONAL_PRIMARY,DIRECT_LANGUAGE_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,Surface-level release as a direct language reference; individual occurrences remain unreviewed.,The shared-text-excluded 204-label graph universe contains provisional LANGUAGE_OR_DIALECT_REFERENCE references to 中文.,PROVISIONAL_PRIMARY_RELEASE_NOT_OCCURRENCE_GOLD
伦敦,PLACE,True,True,True,RELEASE_PROVISIONAL_PRIMARY,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,Surface-level release as a conventional geographic reference; individual occurrences remain unreviewed.,The shared-text-excluded 204-label graph universe contains provisional PLACE references to 伦敦.,PROVISIONAL_PRIMARY_RELEASE_NOT_OCCURRENCE_GOLD
加勒比,PLACE,True,True,True,RELEASE_PROVISIONAL_PRIMARY,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,Surface-level release as a conventional geographic reference; individual occurrences remain unreviewed.,The shared-text-excluded 204-label graph universe contains provisional PLACE references to 加勒比.,PROVISIONAL_PRIMARY_RELEASE_NOT_OCCURRENCE_GOLD
加州,PLACE,True,True,True,RELEASE_PROVISIONAL_PRIMARY,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,Surface-level release as a conventional geographic reference; individual occurrences remain unreviewed.,The shared-text-excluded 204-label graph universe contains provisional PLACE references to 加州.,PROVISIONAL_PRIMARY_RELEASE_NOT_OCCURRENCE_GOLD
加拿大,PLACE,True,True,True,RELEASE_PROVISIONAL_PRIMARY,CONVENTIONAL_NAMED_GEOGRAPHY_SURFACE_PLUS_CROSS_METHOD_SUPPORT_GATES,Surface-level release as a conventional geographic reference; individual occurrences remain unreviewed.,The shared-text-excluded 204-label graph universe contains provisional PLACE references to 加拿大.,PROVISIONAL_PRIMARY_RELEASE_NOT_OCCURRENCE_GOLD
卡斯,PERSON_REFERENCE,True,True,False,WITHHOLD_SEMANTIC_TYPE,PERSON_SURFACE_NOT_IN_T1_CORE_NAMED_INDIVIDUAL_ALLOWLIST,"WITHHOLD: two automated methods agree on a person-shaped span, but the surface is absent from the independently screened T1 named-individual ledger; credits, fictional references, and figurative uses remain possible.",No primary graph entity or edge claim is released for this surface/type pair.,WITHHELD_FROM_PRIMARY_GRAPH_NOT_OCCURRENCE_GOLD
