source_credit_label,entity,entity_type,before_shared_exclusion_song_support,after_shared_exclusion_song_support,before_shared_exclusion_legacy_basic_gate,after_shared_exclusion_legacy_basic_gate,after_uncertainty_and_bh_release_gate,after_shrunken_risk_ratio,after_conservative_rr_ci95_low,after_bh_q_value,final_reliability_class,final_withhold_reason
AR,中文,LANGUAGE_OR_DIALECT_REFERENCE,8,5,True,True,False,6.582512,2.067861,0.22900187349399753,WITHHOLD,bh_fdr_q_above_0.05
AR,潮汕,PLACE,3,0,True,False,False,,,,WITHHOLD,entity_not_in_primary_inventory
AR,英文,LANGUAGE_OR_DIALECT_REFERENCE,4,4,True,True,False,28.027579,6.226327,0.010184102282315668,WITHHOLD,entity_support_below_5_song_units
Ansr J,巴黎,PLACE,4,3,True,True,False,11.735111,2.446473,0.40294629052007513,WITHHOLD,entity_support_below_5_song_units | bh_fdr_q_above_0.05
Athree,上海,PLACE,3,0,True,False,False,1.155338,0.00098,1.0,WITHHOLD,entity_support_below_5_song_units | within_label_share_below_0.05 | shrunken_risk_ratio_below_1.50 | uncertainty_interval_includes_no_enrichment | bh_fdr_q_above_0.05
Athree,中文,LANGUAGE_OR_DIALECT_REFERENCE,3,1,True,False,False,2.807076,0.18119,1.0,WITHHOLD,entity_support_below_5_song_units | within_label_share_below_0.05 | uncertainty_interval_includes_no_enrichment | bh_fdr_q_above_0.05
Athree,新疆,PLACE,5,3,True,True,False,22.968116,4.489713,0.11318965740584025,WITHHOLD,entity_support_below_5_song_units | bh_fdr_q_above_0.05
Blow Fever,上海,PLACE,4,3,True,True,False,7.083915,1.530407,1.0,WITHHOLD,entity_support_below_5_song_units | bh_fdr_q_above_0.05
Blow Fever,中文,LANGUAGE_OR_DIALECT_REFERENCE,3,3,True,True,False,5.661662,1.246443,1.0,WITHHOLD,entity_support_below_5_song_units | bh_fdr_q_above_0.05
Bridge,上海,PLACE,3,2,True,False,False,5.414354,0.80073,1.0,WITHHOLD,entity_support_below_5_song_units | uncertainty_interval_includes_no_enrichment | bh_fdr_q_above_0.05
Bridge,中文,LANGUAGE_OR_DIALECT_REFERENCE,7,3,True,True,False,6.116757,1.354697,1.0,WITHHOLD,entity_support_below_5_song_units | bh_fdr_q_above_0.05
C-Block,中文,LANGUAGE_OR_DIALECT_REFERENCE,3,3,True,True,False,3.463759,0.741379,1.0,WITHHOLD,entity_support_below_5_song_units | uncertainty_interval_includes_no_enrichment | bh_fdr_q_above_0.05
GAI,中文,LANGUAGE_OR_DIALECT_REFERENCE,5,2,True,False,False,3.182894,0.471276,1.0,WITHHOLD,entity_support_below_5_song_units | uncertainty_interval_includes_no_enrichment | bh_fdr_q_above_0.05
GALI,上海,PLACE,12,8,True,True,True,13.168061,5.28451,0.00019840646134977326,SUPPORTED,
GNS耀耀,青藏,PLACE,3,0,True,False,False,,,,WITHHOLD,entity_not_in_primary_inventory
HAS,上海,PLACE,6,5,True,True,False,7.456686,2.282355,0.15712074432670625,WITHHOLD,bh_fdr_q_above_0.05
HAS,巴黎,PLACE,3,3,True,True,False,7.135321,1.442234,1.0,WITHHOLD,entity_support_below_5_song_units | bh_fdr_q_above_0.05
Jarstick,上海,PLACE,3,2,True,False,False,4.095984,0.596143,1.0,WITHHOLD,entity_support_below_5_song_units | uncertainty_interval_includes_no_enrichment | bh_fdr_q_above_0.05
KKLUV,中文,LANGUAGE_OR_DIALECT_REFERENCE,6,2,True,False,False,3.734972,0.557636,1.0,WITHHOLD,entity_support_below_5_song_units | uncertainty_interval_includes_no_enrichment | bh_fdr_q_above_0.05
