source_node_id,target_node_id,edge_type,support_song_units,effect_size,uncertainty_lower,q_value_bh,reliability_class,meaning,status
ALBL-7ba722009dee968fea666826254e4d7047ee83b9c2b6439061df005b6dfa14bf,ENT-5d6d0c112c2750c769e49d87,SOURCE_LABEL_TO_LYRIC_REFERENCE,10,151.699488,49.780413,1.4696215482327603e-14,HIGH,"After shared-text exclusion, 天津 appears in 10 of 33 eligible 黑麦 song units (30.3%); shrunken enrichment 151.70x, BH q=1.47e-14. This is not biography, preference, or a social relationship.",PROVISIONAL_STATISTICALLY_SUPPORTED_NOT_HUMAN_VALIDATED
ALBL-1c521aa5918a7c228d52dd39e33749ac1ed6902f61bfed0d6daaa3c3adfc4357,ENT-1efcc53c480b715fc2166b8d,SOURCE_LABEL_TO_LYRIC_REFERENCE,10,74.123827,26.873679,3.042623045608577e-12,HIGH,"After shared-text exclusion, 杭州 appears in 10 of 38 eligible Tangoz song units (26.3%); shrunken enrichment 74.12x, BH q=3.04e-12. This is not biography, preference, or a social relationship.",PROVISIONAL_STATISTICALLY_SUPPORTED_NOT_HUMAN_VALIDATED
ALBL-2c8bc6640d674fb0494ab3a0352bfacdd7243a34c724124ee036737fd0d39b2d,ENT-8d6ac42b1d236222bb7a21d5,SOURCE_LABEL_TO_LYRIC_REFERENCE,5,159.55641,33.222097,1.2527862668009402e-06,SUPPORTED,"After shared-text exclusion, 湖南 appears in 5 of 25 eligible 泰格西 song units (20.0%); shrunken enrichment 159.56x, BH q=1.25e-06. This is not biography, preference, or a social relationship.",PROVISIONAL_STATISTICALLY_SUPPORTED_NOT_HUMAN_VALIDATED
ALBL-0fad1a0628b44667e6d7ea5400c1265783ad07b0e8a6f5e211f741bc5456eff8,ENT-0f3bb6cbac00c6a8ae58bdeb,SOURCE_LABEL_TO_LYRIC_REFERENCE,6,63.991282,17.031561,2.3789262580140696e-06,SUPPORTED,"After shared-text exclusion, 台北 appears in 6 of 36 eligible 国蛋 song units (16.7%); shrunken enrichment 63.99x, BH q=2.38e-06. This is not biography, preference, or a social relationship.",PROVISIONAL_STATISTICALLY_SUPPORTED_NOT_HUMAN_VALIDATED
ALBL-b531a8de7a6d0c34b19b787255885398b63fd4b92d8984404c6d5271f7d268f1,ENT-723b8cc50f4bb202057e798c,SOURCE_LABEL_TO_LYRIC_REFERENCE,8,13.168061,5.28451,0.00019840646134977326,SUPPORTED,"After shared-text exclusion, 上海 appears in 8 of 36 eligible GALI song units (22.2%); shrunken enrichment 13.17x, BH q=0.000198. This is not biography, preference, or a social relationship.",PROVISIONAL_STATISTICALLY_SUPPORTED_NOT_HUMAN_VALIDATED
ALBL-800378ed0482ee65717309245d95ab4ddd74395ddce9272aa4a50433bad833f6,ENT-723b8cc50f4bb202057e798c,SOURCE_LABEL_TO_LYRIC_REFERENCE,7,10.123833,3.756767,0.004955357390838317,SUPPORTED,"After shared-text exclusion, 上海 appears in 7 of 41 eligible 法老 song units (17.1%); shrunken enrichment 10.12x, BH q=0.00496. This is not biography, preference, or a social relationship.",PROVISIONAL_STATISTICALLY_SUPPORTED_NOT_HUMAN_VALIDATED
ENT-20af0fa9fd64b0bac4a7423f,ENT-c99d15e783d933fcf6a258de,SAME_SONG_LYRIC_REFERENCE_CO_MENTION,5,0.500454,,4.206421320557345e-05,SUPPORTED,"伦敦 and 巴黎 co-occur in 5 of 5681 eligible song units after shared-text exclusion; NPMI=0.50, BH q=4.21e-05. This is not a social relationship.",PROVISIONAL_STATISTICALLY_SUPPORTED_NOT_HUMAN_VALIDATED
ENT-1ab5e8811caca548e6ff8609,ENT-e0ebd62fb39173005b8b1b47,SAME_SONG_LYRIC_REFERENCE_CO_MENTION,6,0.324179,,0.004013675340509879,SUPPORTED,"中文 and 英文 co-occur in 6 of 5681 eligible song units after shared-text exclusion; NPMI=0.32, BH q=0.00401. This is not a social relationship.",PROVISIONAL_STATISTICALLY_SUPPORTED_NOT_HUMAN_VALIDATED
ENT-723b8cc50f4bb202057e798c,ENT-c99d15e783d933fcf6a258de,SAME_SONG_LYRIC_REFERENCE_CO_MENTION,7,0.250614,,0.01700920397947923,SUPPORTED,"上海 and 巴黎 co-occur in 7 of 5681 eligible song units after shared-text exclusion; NPMI=0.25, BH q=0.017. This is not a social relationship.",PROVISIONAL_STATISTICALLY_SUPPORTED_NOT_HUMAN_VALIDATED
ENT-723b8cc50f4bb202057e798c,ENT-f15a8bc263a70282ddd6b9f2,SAME_SONG_LYRIC_REFERENCE_CO_MENTION,5,0.270346,,0.03100053901544082,SUPPORTED,"上海 and 新疆 co-occur in 5 of 5681 eligible song units after shared-text exclusion; NPMI=0.27, BH q=0.031. This is not a social relationship.",PROVISIONAL_STATISTICALLY_SUPPORTED_NOT_HUMAN_VALIDATED
