system,task_role,aggregation,metric,estimate,ci95_lower,ci95_upper,queries,source_credit_labels,global_duplicate_components,label_stratum_component_units,bootstrap_replicates
BGE-M3 dense (strict),primary_comparison,source_credit_label_macro_duplicate_group_adjusted,mrr,0.320392,0.294891,0.346490,5455,204,5430,5432,5000
BGE-M3 dense (strict),primary_comparison,query_micro_descriptive,mrr,0.336691,,,5455,204,5430,5432,
BGE-M3 dense (strict),primary_comparison,source_credit_label_macro_duplicate_group_adjusted,recall_at_1,0.225508,0.199389,0.252060,5455,204,5430,5432,5000
BGE-M3 dense (strict),primary_comparison,query_micro_descriptive,recall_at_1,0.238863,,,5455,204,5430,5432,
BGE-M3 dense (strict),primary_comparison,source_credit_label_macro_duplicate_group_adjusted,recall_at_5,0.406703,0.376505,0.437266,5455,204,5430,5432,5000
BGE-M3 dense (strict),primary_comparison,query_micro_descriptive,recall_at_5,0.428231,,,5455,204,5430,5432,
BGE-M3 dense (strict),primary_comparison,source_credit_label_macro_duplicate_group_adjusted,recall_at_10,0.507765,0.477569,0.538212,5455,204,5430,5432,5000
BGE-M3 dense (strict),primary_comparison,query_micro_descriptive,recall_at_10,0.531989,,,5455,204,5430,5432,
BGE-M3 dense (strict),primary_comparison,source_credit_label_macro_duplicate_group_adjusted,ndcg_at_10,0.352662,0.326477,0.379826,5455,204,5430,5432,5000
BGE-M3 dense (strict),primary_comparison,query_micro_descriptive,ndcg_at_10,0.370852,,,5455,204,5430,5432,
character 2-5 gram TF-IDF (strict),primary_comparison,source_credit_label_macro_duplicate_group_adjusted,mrr,0.415771,0.380990,0.451041,5455,204,5430,5432,5000
character 2-5 gram TF-IDF (strict),primary_comparison,query_micro_descriptive,mrr,0.460715,,,5455,204,5430,5432,
character 2-5 gram TF-IDF (strict),primary_comparison,source_credit_label_macro_duplicate_group_adjusted,recall_at_1,0.336942,0.301250,0.373702,5455,204,5430,5432,5000
character 2-5 gram TF-IDF (strict),primary_comparison,query_micro_descriptive,recall_at_1,0.376719,,,5455,204,5430,5432,
character 2-5 gram TF-IDF (strict),primary_comparison,source_credit_label_macro_duplicate_group_adjusted,recall_at_5,0.492181,0.453420,0.530445,5455,204,5430,5432,5000
character 2-5 gram TF-IDF (strict),primary_comparison,query_micro_descriptive,recall_at_5,0.546471,,,5455,204,5430,5432,
