entity,entity_type,corpuswide_strict_occurrences,all_labels_after_shared_exclusion_strict_occurrences,removed_cross_label_shared_text_occurrences_all_labels,graph_universe_before_shared_exclusion_strict_occurrences,graph_universe_after_shared_exclusion_strict_occurrences,removed_outside_204_label_universe_occurrences,removed_cross_label_shared_text_occurrences_within_graph_universe,shared_text_removed_share_within_graph_universe,corpuswide_unique_song_units,graph_after_exclusion_unique_song_units,corpuswide_source_credit_labels,graph_after_exclusion_source_credit_labels,primary_entity_release,interpretation
万妮达,PERSON_REFERENCE,14,7,7,14,7,0,7,0.5,11,6,9,5,True,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
上海,PLACE,258,152,106,247,142,11,105,0.425101,163,106,88,65,True,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
中文,LANGUAGE_OR_DIALECT_REFERENCE,288,178,110,283,173,5,110,0.388693,197,132,103,79,True,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
伦敦,PLACE,14,12,2,14,12,0,2,0.142857,14,12,13,12,True,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
加勒比,PLACE,24,18,6,24,18,0,6,0.25,11,9,11,8,True,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
加州,PLACE,24,19,5,22,19,2,3,0.136364,21,17,21,16,True,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
加拿大,PLACE,11,11,0,11,11,0,0,0.0,9,9,8,8,True,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
台北,PLACE,46,23,23,46,23,0,23,0.5,30,21,21,13,True,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
天津,PLACE,70,58,12,56,44,14,12,0.214286,28,21,13,8,True,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
太平洋,PLACE,25,12,13,25,12,0,13,0.52,14,9,19,9,True,"Sensitivity to the 204-label universe and cross-label exact cleaned-text exclusion; counts are repeated corpus occurrences, not independent samples."
