combination_id,short_surface,release_schema_type,containing_span,span_kind,containing_span_length_bucket,model_entity_group,proposing_models,flagged_occurrences,flagged_strict_occurrences,distinct_source_labels,credit_region_occurrences,resolution_action,retain_short,span_relation,text_region,longer_span_disposition,resolution_rationale
6893444e-eae8-4bc2-989a-406ee3b9f249,上海,PLACE,<PERSONNEL_AFFILIATION_ORG>,production_credit_generalised,4-6,ORG,shibing624/bert4ner-base-chinese,2,2,1,2,DROP_SHORT,no,DISTINCT_ENTITY,PRODUCTION_CREDIT,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
89299444-8351-4e24-8461-8eff4217e37d,上海,PLACE,<PERSONNEL_AFFILIATION_ORG>,production_credit_generalised,7-12,ORG,shibing624/bert4ner-base-chinese,1,0,1,1,DROP_SHORT,no,DISTINCT_ENTITY,PRODUCTION_CREDIT,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
8f5006b8-a086-426d-b296-ad3ff6fabac1,上海,PLACE,<PRODUCTION_CREDIT_CHOIR>,production_credit_generalised,7-12,ORG,shibing624/bert4ner-base-chinese,1,0,1,1,DROP_SHORT,no,DISTINCT_ENTITY,PRODUCTION_CREDIT,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
0c42af28-839b-499c-b245-d8e0924adb8b,上海,PLACE,<PRODUCTION_CREDIT_COMPANY>,production_credit_generalised,7-12,ORG,shibing624/bert4ner-base-chinese,1,0,1,1,DROP_SHORT,no,DISTINCT_ENTITY,PRODUCTION_CREDIT,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
709f07ca-e2e4-42b5-9342-e3726a74fd9a,上海,PLACE,<PRODUCTION_CREDIT_COMPANY>,production_credit_generalised,7-12,ORG,shibing624/bert4ner-base-chinese,1,0,1,1,DROP_SHORT,no,DISTINCT_ENTITY,PRODUCTION_CREDIT,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
76d99ee3-a662-459b-af85-d5c6703a2ed7,上海,PLACE,<PRODUCTION_CREDIT_COMPANY>,production_credit_generalised,13+,ORG,shibing624/bert4ner-base-chinese,1,0,1,1,DROP_SHORT,no,DISTINCT_ENTITY,PRODUCTION_CREDIT,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
7c9831a2-1de1-4bd9-bf04-91accaf95c5c,上海,PLACE,<PRODUCTION_CREDIT_COMPANY>,production_credit_generalised,13+,ORG,shibing624/bert4ner-base-chinese,1,0,1,1,DROP_SHORT,no,DISTINCT_ENTITY,PRODUCTION_CREDIT,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
a9f0bc89-08ab-4303-97c3-245f593f92c6,上海,PLACE,<PRODUCTION_CREDIT_COMPANY>,production_credit_generalised,13+,ORG,shibing624/bert4ner-base-chinese,1,0,1,1,DROP_SHORT,no,DISTINCT_ENTITY,PRODUCTION_CREDIT,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
c6a070bb-d976-405b-8ce7-b521557fccc9,上海,PLACE,<PRODUCTION_CREDIT_COMPANY>,production_credit_generalised,13+,ORG,shibing624/bert4ner-base-chinese,2,0,1,2,DROP_SHORT,no,DISTINCT_ENTITY,PRODUCTION_CREDIT,NEW_CANDIDATE_REQUIRES_STANDARD_GATE,the surface occurs inside a larger proper name with a different referent
170a2a99-8282-45bf-91c6-b722c6bec7e3,上海,PLACE,上海+<BREAK>+<HAN>,merged_span_structural,4-6,address,uer/roberta-base-finetuned-cluener2020-chinese,1,1,1,0,RETAIN_SHORT,yes,TAGGER_ARTEFACT,LYRIC,NOT_A_CANDIDATE_TAGGER_ARTEFACT,"the reference span merged across a line, language or list boundary; the short entity stands"
