entity,entity_type,strict_agreement_occurrences,lexicon_candidate_occurrences,strict_agreement_rate,unique_song_units,source_credit_labels,mean_transformer_confidence,quantitative_gate_pass,status
中文,LANGUAGE_OR_DIALECT_REFERENCE,178,273,0.652,137,83,0.9801,True,PROVISIONAL_SHARED_TEXT_EXCLUDED_ALL_LABELS_SENSITIVITY_NOT_HUMAN_VALIDATED
上海,PLACE,152,191,0.7958,112,68,0.9963,True,PROVISIONAL_SHARED_TEXT_EXCLUDED_ALL_LABELS_SENSITIVITY_NOT_HUMAN_VALIDATED
巴黎,PLACE,114,131,0.8702,71,49,0.9972,True,PROVISIONAL_SHARED_TEXT_EXCLUDED_ALL_LABELS_SENSITIVITY_NOT_HUMAN_VALIDATED
新疆,PLACE,51,57,0.8947,40,23,0.9946,True,PROVISIONAL_SHARED_TEXT_EXCLUDED_ALL_LABELS_SENSITIVITY_NOT_HUMAN_VALIDATED
杭州,PLACE,59,72,0.8194,31,16,0.9877,True,PROVISIONAL_SHARED_TEXT_EXCLUDED_ALL_LABELS_SENSITIVITY_NOT_HUMAN_VALIDATED
英文,LANGUAGE_OR_DIALECT_REFERENCE,37,43,0.8605,29,23,0.9941,True,PROVISIONAL_SHARED_TEXT_EXCLUDED_ALL_LABELS_SENSITIVITY_NOT_HUMAN_VALIDATED
天津,PLACE,58,77,0.7532,23,9,0.9956,True,PROVISIONAL_SHARED_TEXT_EXCLUDED_ALL_LABELS_SENSITIVITY_NOT_HUMAN_VALIDATED
台北,PLACE,23,34,0.6765,21,13,0.9877,True,PROVISIONAL_SHARED_TEXT_EXCLUDED_ALL_LABELS_SENSITIVITY_NOT_HUMAN_VALIDATED
香港,PLACE,24,33,0.7273,20,16,0.9859,True,PROVISIONAL_SHARED_TEXT_EXCLUDED_ALL_LABELS_SENSITIVITY_NOT_HUMAN_VALIDATED
深圳,PLACE,23,23,1.0,19,14,0.9998,True,PROVISIONAL_SHARED_TEXT_EXCLUDED_ALL_LABELS_SENSITIVITY_NOT_HUMAN_VALIDATED
加州,PLACE,19,29,0.6552,17,16,0.992,True,PROVISIONAL_SHARED_TEXT_EXCLUDED_ALL_LABELS_SENSITIVITY_NOT_HUMAN_VALIDATED
湖南,PLACE,15,25,0.6,12,7,0.9969,True,PROVISIONAL_SHARED_TEXT_EXCLUDED_ALL_LABELS_SENSITIVITY_NOT_HUMAN_VALIDATED
伦敦,PLACE,12,22,0.5455,12,12,0.9838,True,PROVISIONAL_SHARED_TEXT_EXCLUDED_ALL_LABELS_SENSITIVITY_NOT_HUMAN_VALIDATED
潘玮柏,PERSON_REFERENCE,24,25,0.96,11,10,0.9695,True,PROVISIONAL_SHARED_TEXT_EXCLUDED_ALL_LABELS_SENSITIVITY_NOT_HUMAN_VALIDATED
日本,PLACE,10,13,0.7692,10,9,0.9917,True,PROVISIONAL_SHARED_TEXT_EXCLUDED_ALL_LABELS_SENSITIVITY_NOT_HUMAN_VALIDATED
加勒比,PLACE,18,29,0.6207,9,8,0.9999,True,PROVISIONAL_SHARED_TEXT_EXCLUDED_ALL_LABELS_SENSITIVITY_NOT_HUMAN_VALIDATED
太平洋,PLACE,12,18,0.6667,9,9,0.9932,True,PROVISIONAL_SHARED_TEXT_EXCLUDED_ALL_LABELS_SENSITIVITY_NOT_HUMAN_VALIDATED
加拿大,PLACE,11,14,0.7857,9,8,0.9965,True,PROVISIONAL_SHARED_TEXT_EXCLUDED_ALL_LABELS_SENSITIVITY_NOT_HUMAN_VALIDATED
昆明,PLACE,9,15,0.6,9,7,0.991,True,PROVISIONAL_SHARED_TEXT_EXCLUDED_ALL_LABELS_SENSITIVITY_NOT_HUMAN_VALIDATED
万妮达,PERSON_REFERENCE,7,7,1.0,6,5,0.9823,True,PROVISIONAL_SHARED_TEXT_EXCLUDED_ALL_LABELS_SENSITIVITY_NOT_HUMAN_VALIDATED
非洲,PLACE,6,8,0.75,6,6,0.9999,True,PROVISIONAL_SHARED_TEXT_EXCLUDED_ALL_LABELS_SENSITIVITY_NOT_HUMAN_VALIDATED
黄浦江,PLACE,6,10,0.6,6,6,0.9539,True,PROVISIONAL_SHARED_TEXT_EXCLUDED_ALL_LABELS_SENSITIVITY_NOT_HUMAN_VALIDATED
西藏,PLACE,5,8,0.625,5,5,0.9844,True,PROVISIONAL_SHARED_TEXT_EXCLUDED_ALL_LABELS_SENSITIVITY_NOT_HUMAN_VALIDATED
